# enrichment: m365. L1 surfaces + concept cards.
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
admin,,,,Admin center,,Microsoft 365 admin center (root),Microsoft 365 admin center: users; licenses; health; org settings.,m365 admin,gr,free,https://learn.microsoft.com/microsoft-365/admin/,,musers|mshealth|mc,2026-08
musers,,,,Admin center,,M365 admin > Users > Active users,"The L1 user panel: reset password, block sign-in, licenses, mail settings, OneDrive access.",reset|block|panel,useradmin,free,,Get-MgUser,usermgmt|enusers|adlicense,2026-08
adlicense,,,Licenses (M365 admin),Admin center,,M365 admin > Billing > Licenses,Assign and reclaim seats; check service-plan toggles per user.,seats|assign,licadmin,free,,Get-MgSubscribedSku,musers|enlicense,2026-08
mshealth,,,,Admin center,,M365 admin > Health > Service health,Current incidents and advisories per workload; check before troubleshooting.,outage|incident,svcsupportadmin,free,https://learn.microsoft.com/microsoft-365/enterprise/view-service-health,,mc|azhealth,2026-08
mc,,,,Admin center,,M365 admin > Health > Message center,Change announcements; route posts to Planner/mail for review cadence.,changes|announcements,msgcenterreader,free,,,mshealth|ennew,2026-08
domains,,,,Admin center,,M365 admin > Settings > Domains,"Add domains and manage required DNS records (MX, SPF, autodiscover, DKIM).",dns|mx,domainnameadmin,free,https://learn.microsoft.com/microsoft-365/admin/setup/add-domain,,endom|dedkim,2026-08
tenants,,,,Admin center,,M365 admin > multi-tenant view,Switch between tenants you administer.,multi-tenant,gr,free,,,demto|lh,2026-08
ex,,,,Exchange,,Exchange admin center,"Recipients, mail flow, migration; protection policies live in the Defender portal.",eac|exchange,exadmin,free,https://learn.microsoft.com/exchange/exchange-admin-center,Connect-ExchangeOnline,exmt|exrules|exforwarding,2026-08
exmt,,,,Exchange,,EAC > Mail flow > Message trace,"Where did the mail go: 10 days interactive, 90 days downloadable. The flagship L1 tool.",trace|delivery|ndr,exadmin,free,https://learn.microsoft.com/exchange/monitoring/trace-an-email-message/message-trace-faq,Get-MessageTrace,scenario-phishing|deexplorer,2026-08
exrules,,,,Exchange,,EAC > Mail flow > Rules,"Transport rules: routing, disclaimers, blocks; audit for malicious forwards after compromise.",transport rules,exadmin,free,,Get-TransportRule,exforwarding|scenario-compromise,2026-08
sp,,,,SharePoint & OneDrive,,SharePoint admin center,"Active sites, sharing policy, access control, storage.",spo,spadmin,free,https://learn.microsoft.com/sharepoint/sharepoint-admin-role,Connect-SPOService,spexternal|one,2026-08
one,,,,SharePoint & OneDrive,,Legacy OneDrive admin (folded into SharePoint admin),"Sync restrictions, storage defaults, retention for departed users; use the SPO center.",odb,spadmin,free,,,sp,2026-08
teams,,,,Teams,,Teams admin center,"Users, policies, meetings, voice, devices; policy changes propagate in hours.",tac,teamsadmin,free,https://learn.microsoft.com/microsoftteams/,Connect-MicrosoftTeams,teamsrooms,2026-08
teamsrooms,,,,Teams,,Teams Rooms Pro Management portal,Room device health and update rings.,mtr|rooms,teamsadmin,teams-prem,,,teams,
m365apps,,,,Apps,,Microsoft 365 Apps admin center (config.office.com),"Servicing profiles, inventory, security policy advisor for Office apps.",office apps|channels,gr,free,,,oct,2026-08
oct,,,,Apps,,config.office.com > Device deployment,Office Customization Tool: build ODT configuration XML.,odt|deployment,gr,free,,,m365apps,2026-08
usermgmt,concept,,User management quick actions (L1 map),Admin center,,The 19-action cheat map,"Reset password + revoke sessions as a pair; MFA re-register; licenses; aliases; auto-reply; forwarding; mailbox permissions; shared-mailbox convert; OneDrive handover; restore user; guest invite; templates; bulk CSV; My Staff.",cheat sheet|quick actions,helpdesk,free,,,musers|enusers|enmfaunblock|restorematrix,2026-08
m365backup,setting,,Microsoft 365 Backup,Admin center,,M365 admin > Setup > Microsoft 365 Backup,Fast restore points for EXO/SPO/ODB; pay-as-you-go billing; complements (not replaces) retention.,backup|restore points,gr,free,https://learn.microsoft.com/microsoft-365/backup/,,restorematrix,2026-08
restorematrix,concept,,Restore & recovery matrix,Admin center,,Object > window > tool,"Mail item (Recoverable Items + single item recovery); mailbox (soft-delete 30d); SPO/ODB item + site (93d recycle); leaver OneDrive (retention setting); group/team (30d); user (30d); M365 Backup restore points.",recover deleted|windows,helpdesk,free,,,m365backup|puaudit|usermgmt,2026-08
connectivity,tool,,Microsoft 365 network connectivity test,Admin center,https://connectivity.office.com,connectivity.office.com,Client-side network test against M365 front doors; attach results to tickets.,network test|latency,,free,https://learn.microsoft.com/microsoft-365/enterprise/office-365-network-mac-perf-onboarding-tool,,tnc,
exforwarding,setting,,External forwarding controls (3 layers),Exchange,,Outbound anti-spam policy + remote domains + transport rules,"Auto-forward is decided in three places: outbound spam policy (default off), remote domain settings, transport rules. Check all three when forwarding fails silently.",forwarding blocked|autoforward,exadmin,free,https://learn.microsoft.com/defender-office-365/outbound-spam-policies-external-email-forwarding,,deasp|exrules,2026-08
spexternal,setting,,SPO external sharing tiers,SharePoint & OneDrive,,SharePoint admin > Policies > Sharing,"Org-level tier (Anyone / New+existing / Existing / Only org) caps every site; per-site can only be stricter.",sharing|anyone links,spadmin,free,https://learn.microsoft.com/sharepoint/turn-external-sharing-on-or-off,,sp|enctas,2026-08
