# enrichment: mypages (end-user surfaces; shareText = paste-ready line for users).
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified,shareText
mymfa,,mfasetup,,Self-service,,My security info,Where users manage their own MFA methods; aka.ms/mfasetup lands here too.,security info|mfa setup|authenticator setup|reset mfa,,free,https://learn.microsoft.com/entra/identity/authentication/howto-registration-mfa-sspr-combined,,enauth|mypw,2026-08,Go to https://mysignins.microsoft.com/security-info to add or change your sign-in methods.
mypw,,passwordreset,,Self-service,,Password reset portal,Self-service password reset for users who forgot or are locked out; needs registered methods. Users who know their password and just want a new one use the change-password page instead.,sspr|forgot password|locked out,,free,https://learn.microsoft.com/entra/identity/authentication/concept-sspr-howitworks,,ensspr|mymfa,2026-08,Reset your password at https://passwordreset.microsoftonline.com (verify with your registered methods).
myaccess,,,,Self-service,,My Access,Request and approve access packages; do access reviews.,access packages|reviews,,entra-p2,,,enelm,2026-08,Request access or approve requests at https://myaccess.microsoft.com.
myapps,,,,Self-service,,My Apps,Launcher for every app assigned to the user.,app launcher,,free,,,enapps,2026-08,Find all your work apps at https://myapps.microsoft.com.
myaccount,,,,Self-service,,My Account,"Profile, devices, sign-out everywhere, subscriptions.",profile|sign out|organizations|leave organization,,free,,,mymfa,2026-08,Manage your work account at https://myaccount.microsoft.com.
mygroups,,,,Self-service,,My Groups,Self-service group join and membership management.,groups,,free,,,engroups,2026-08,Manage your group memberships at https://myaccount.microsoft.com/groups.
mystaff,,,,Delegated,,My Staff,Delegated password reset and phone management for frontline managers.,frontline|delegated reset,,entra-p1,,,usermgmt,2026-08,Managers: reset your team's passwords at https://mystaff.microsoft.com.
mysubscriptions,,,,Self-service,,My Office subscriptions,Which Office licenses and installs the user has.,office installs,,free,,,adlicense,2026-08,Check your Office licenses at https://portal.office.com/account.
myvs,,,,Self-service,,My Visual Studio,Visual Studio subscription benefits.,msdn,,free,,,adlicense,2026-08,Your Visual Studio benefits live at https://my.visualstudio.com.
mysignins,enduser,,My sign-ins,Self-service,https://mysignins.microsoft.com,My sign-ins,Users review their own recent sign-in activity and report anything unfamiliar; the self-service half of a compromise triage call.,recent activity|unusual sign-in,,free,,,ensign|mymfa,2026-08,Review your recent sign-in activity at https://mysignins.microsoft.com and report anything you do not recognize.
mydevices,enduser,,My devices,Self-service,https://mydevices.microsoft.com,My devices,Users see their registered devices and can disable a lost one; BitLocker key self-recovery appears here when the tenant allows it.,my devices|disable device,,free,,,endevices|endevicesettings,2026-08,See and manage your registered devices at https://mydevices.microsoft.com.
myfido,enduser,mypasskey,Register a passkey (FIDO2),Self-service,https://mysignins.microsoft.com/security-info,Security info > Add sign-in method > Passkey,Users register passkeys and hardware security keys themselves on the security info page; the tenant must allow the passkey (FIDO2) method first. Phishing-resistant and the method to push over SMS.,passkey|fido2|security key|add passkey|yubikey,,free,https://learn.microsoft.com/entra/identity/authentication/howto-authentication-passwordless-security-key,,mymfa|enauth,2026-08,Add a passkey or security key at https://mysignins.microsoft.com/security-info: choose Add sign-in method then Passkey.
mypwchange,enduser,changepw,Change password (known password),Self-service,https://mysignins.microsoft.com/security-info/password/change,My Account > Password,For users who know their current password and want a new one; no registered methods needed. Locked-out users need the reset portal instead.,change password|new password,,free,,,mypw|ensspr,2026-08,Change your password at https://mysignins.microsoft.com/security-info/password/change (you need your current password; if you forgot it use the reset portal).
