# enrichment: sentinel. Mostly own records: the settings encyclopedia seed.
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
azsentinel,,,,Portal,,Azure portal > Microsoft Sentinel (management plane),Workspace-level management: pricing; RBAC; the SOC experience lives in the Defender portal.,siem|workspace,az-sentinelreader,sentinel-usage,https://learn.microsoft.com/azure/sentinel/,,senconnectors|xdranalytics|sencost,2026-08
xdranalytics,,,,Content,,Defender portal > Microsoft Sentinel > Configuration > Analytics,"Detection rules: scheduled, NRT, Fusion, Microsoft security, anomalies. Mind entity mapping.",detections|rules,az-sentinelcontrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/detect-threats-built-in,,senconnectors|senautomation|senmitre,2026-08
xdrthreathunt,,,,Content,,Defender portal > Microsoft Sentinel > Threat management > Hunting,Hypothesis hunts; query gallery; bookmarks; livestream.,hunting|kql,az-sentinelreader,sentinel-usage,https://learn.microsoft.com/azure/sentinel/hunting,,dehunting|xdrwatchlist,2026-08
xdrwatchlist,,,,Content,,Defender portal > Microsoft Sentinel > Configuration > Watchlist,"CSV-backed lookup lists: VIPs, service accounts, allowlists; query with _GetWatchlist().",watchlist|lookup,az-sentinelcontrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/watchlists,Get-AzSentinelWatchlist,xdrthreathunt,2026-08
sencontenthub,setting,,Content hub,Content,,Sentinel > Content management > Content hub,"Install solutions (connector + rules + workbooks + playbooks bundles); update versions here, not per-item.",solutions|install,az-sentinelcontrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/sentinel-solutions-deploy,,senconnectors,2026-08
senconnectors,setting,,Data connectors,Configuration,,Sentinel > Configuration > Data connectors,"Connector gallery; if a connector is missing, install its Content hub solution first. Check per-connector health.",ingestion|connector missing,az-sentinelcontrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/connect-data-sources,,sencontenthub|sendcr|senhealth,2026-08
senautomation,setting,,Automation rules,Automation,,Sentinel > Configuration > Automation,"Trigger conditions + ordered actions: assign, tag, close, run playbook; expiry dates make great maintenance windows.",soar|automation rules,az-sentinelcontrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/automate-incident-handling-with-automation-rules,,senplaybookperms|xdranalytics,2026-08
senplaybookperms,setting,,Playbook permissions,Automation,,Sentinel > Settings > Playbook permissions,"Grants Sentinel permission to run playbooks per resource group: the number one reason a playbook silently never fires.",playbook did not run,az-sentinelcontrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/tutorial-respond-threats-playbook,,senautomation,2026-08
senueba,setting,,UEBA + anomalies,Configuration,,Sentinel > Settings > Analytics settings (UEBA),"Enable UEBA sources (sign-in, audit, activity, security events); builds BehaviorAnalytics and IdentityInfo tables.",ueba|anomalies|behavior,az-sentinelcontrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/enable-entity-behavior-analytics,,xdranalytics,2026-08
senhealth,setting,,Auditing and health monitoring,Configuration,,Sentinel > Settings > Auditing and health monitoring,Emit SentinelHealth and SentinelAudit tables: who changed what and which connectors/rules fail.,health|audit,az-sentinelcontrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/health-audit,,senconnectors,2026-08
senretention,setting,,Table retention and plans,Cost,,Log Analytics workspace > Settings > Tables,"Per-table interactive retention, long-term retention and plan (Analytics vs cheaper tiers).",retention|archive|table plan,az-la-contrib,sentinel-usage,https://learn.microsoft.com/azure/azure-monitor/logs/data-retention-configure,,sencost|azloganalytics,2026-08
sencost,concept,,Ingestion cost control,Cost,,"Usage table, commitment tiers, E5 grant","Find who costs what with the Usage table; commitment tiers beat PAYG at volume; E5 grants a per-user data allowance; trim with DCR transforms.",cost|billing|usage,az-sentinelreader,sentinel-usage,https://learn.microsoft.com/azure/sentinel/billing,,senretention|sendcr,2026-08
sendcr,concept,,DCRs and ingest-time transforms,Configuration,,Data collection rules + workspace transformation DCR,Shape and trim data before it bills: project-away noisy columns; route custom logs; AMA lives on DCRs.,dcr|transform|ama,az-la-contrib,sentinel-usage,https://learn.microsoft.com/azure/azure-monitor/essentials/data-collection-rule-overview,,azdcr|senconnectors|sencost,2026-08
senti,setting,,Threat intelligence management,Content,,Sentinel > Threat management > Threat intelligence,"Manage IOC/STIX objects; feeds arrive via upload API, TAXII or the Defender TI connector.",ioc|stix|taxii,az-sentinelcontrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/understand-threat-intelligence,,deti|xdranalytics,2026-08
senworkbooks,setting,,Workbooks,Content,,Sentinel > Threat management > Workbooks,"Dashboards: usage and billing, data collection health, CA insights; save from templates before editing.",dashboards,az-sentinelreader,sentinel-usage,,,sencost,2026-08
senrepos,setting,,Repositories (CI/CD),Content,,Sentinel > Content management > Repositories,Deploy rules/playbooks/workbooks from GitHub or Azure DevOps; at-scale for MSSPs.,cicd|devops,az-sentinelcontrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/ci-cd,,sencontenthub|gdap,2026-08
sensocopt,setting,,SOC optimization,Configuration,,Sentinel > SOC optimization,Recommendations on unused data and missing coverage; action them monthly.,recommendations,az-sentinelreader,sentinel-usage,https://learn.microsoft.com/azure/sentinel/soc-optimization/soc-optimization-access,,sencost|senmitre,2026-08
senmitre,setting,,MITRE ATT&CK coverage,Content,,Sentinel > Threat management > MITRE ATT&CK,Coverage heatmap from active analytics rules; simulate adding templates.,mitre|coverage,az-sentinelreader,sentinel-usage,,,xdranalytics|sensocopt,2026-08
