# enrichment: toolbox (all own records; category from filename).
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
dsregcmd,concept,,dsregcmd /status field guide,Windows identity,,Run dsregcmd /status in a user session,"AzureAdJoined + DomainJoined tell the join type; AzureAdPrt YES/NO is the SSO heartbeat; WamDefaultSet and NgcSet cover WAM and Hello. No PRT = fix network/time first.",prt|aadj|haadj|join state,,free,https://learn.microsoft.com/entra/identity/devices/troubleshoot-device-dsregcmd,dsregcmd /status,endevices|whichcmd,2026-08
mdmdiag,concept,,MDM diagnostics (mdmdiagnosticstool),Windows identity,,mdmdiagnosticstool -area DeviceEnrollment;DeviceProvisioning;Autopilot -zip,Produces MDMDiagReport.html + event logs for enrollment/Autopilot tickets; read the enrollment state and last sync first.,enrollment diagnostics|autopilot logs,,free,,mdmdiagnosticstool.exe -area Autopilot -zip C:\temp\mdm.zip,inap|inesp,2026-08
imelogs,concept,,Intune Management Extension logs,Windows identity,,%ProgramData%\Microsoft\IntuneManagementExtension\Logs,"IntuneManagementExtension.log + AgentExecutor.log decode Win32 app installs and script runs; restart the IME service to force a cycle.",win32 app failed|agentexecutor,,free,,,inapps|inscripts,2026-08
sara,concept,,Support and Recovery Assistant (SaRA),Office & Outlook,,SaRA scenarios / Get Help app successor,Automated fixers for Outlook profile + activation + Teams issues; scenario availability is shifting into the Get Help app. aka.ms/SaRA downloads the installer directly.,fixit|outlook repair,,free,https://support.microsoft.com/office/about-the-microsoft-support-and-recovery-assistant-e90bb691-c2a7-4697-a94f-88836856c72f,,outlookladder,
outlookladder,concept,,Outlook triage ladder,Office & Outlook,,New profile > /safe > add-ins > OST rebuild > search index,"Climb in order: new profile isolates most corruption; /safe isolates add-ins; rebuild OST for sync ghosts; rebuild search index last.",outlook broken|prompting,,free,,outlook.exe /safe,sara|whichcmd,2026-08
teamscache,concept,,Teams client cache + logs,Teams client,,Ctrl+Alt+Shift+1 for logs; cache under %LOCALAPPDATA%,Collect diagnostic logs with the hotkey before clearing cache; cache clear fixes less than folklore claims.,teams cache|logs hotkey,,free,,,wherelogs,2026-08
odreset,concept,,OneDrive reset + sync states,OneDrive,,onedrive.exe /reset (per-install path),"Reset re-syncs metadata without data loss; know the icon states; check KFM policy keys and blocked file types before blaming the client.",sync stuck|kfm,,free,https://support.microsoft.com/office/reset-onedrive-34701e00-bf7b-42db-b960-84905399050c,%localappdata%\Microsoft\OneDrive\onedrive.exe /reset,wherelogs,2026-08
jwtms,tool,,jwt.ms token decoder,Auth debugging,https://jwt.ms,Paste a token; read aud/iss/scp/roles claims,Decode tokens for support cases; never paste production tokens into anything else.,token|claims|decode,,free,,,harcapture,2026-08
harcapture,concept,,HAR capture for auth cases,Auth debugging,,F12 > Network > Preserve log > export HAR,Capture the sign-in flow for support; scrub tokens/cookies before sharing; correlation IDs live in the AADSTS error page too.,har|fiddler|correlation id,,free,,,jwtms|ensign,2026-08
tnc,concept,,Network field tests (Test-NetConnection),Network,,Test-NetConnection to M365 endpoints,"tnc login.microsoftonline.com -Port 443 and friends; Teams media wants UDP 3478-3481; captive portals and TLS inspection are the usual villains.",ports|connectivity|udp,,free,,Test-NetConnection outlook.office365.com -Port 443,connectivity,2026-08
wherelogs,concept,,Where are the logs (master table),Quick tables,,Product > client log path/command,"One table: Intune IME, Company Portal, Autopilot, Outlook, Teams, OneDrive, AVD/FSLogix, Defender client analyzer output paths.",log locations,,free,,,imelogs|teamscache|odreset,2026-08
whichcmd,concept,,Which command answers what,Quick tables,,Symptom > one command > field to read,"dsregcmd for join/PRT; klist for Kerberos; mdmdiagnosticstool for enrollment; Get-Tpm for attestation; gpresult vs Settings Catalog reality; whoami /upn for identity confusion.",cheat sheet|commands,,free,,,dsregcmd|mdmdiag,2026-08
