# enrichment: entra. Existing ids keep upstream kind/name/url when blank.
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
enca,,,,Protection,,Entra admin center > Protection > Conditional Access,Create and manage Conditional Access policies; the tenant's enforcement point.,zero trust|policy,caadmin,entra-p1,https://learn.microsoft.com/entra/identity/conditional-access/,Get-MgIdentityConditionalAccessPolicy,enauthstrength|enidp|enac|encawhatif|encatemplates,2026-08
enac,,,,Protection,,Entra admin center > Protection > Conditional Access > Authentication context,Tag resources/actions so CA can demand step-up auth for them.,step-up,caadmin,entra-p1,https://learn.microsoft.com/entra/identity/conditional-access/concept-conditional-access-cloud-apps#authentication-context,,enca,2026-08
enauthstrength,,,,Protection,,Protection > Authentication methods > Authentication strengths,Define which method combinations satisfy MFA (e.g. phishing-resistant only).,fido|passkey|phishing resistant,authpolicyadmin,entra-p1,https://learn.microsoft.com/entra/identity/authentication/concept-authentication-strengths,,enca|enauth,2026-08
enauth,,,,Protection,,Protection > Authentication methods > Policies,Per-method enablement and targeting: Authenticator; FIDO2/passkeys; TAP; SMS; voice.,tap|passkey|methods,authpolicyadmin,free,https://learn.microsoft.com/entra/identity/authentication/concept-authentication-methods,Get-MgPolicyAuthenticationMethodPolicy,enauthstrength|enauthactivity|enpumfa,2026-08
enauthactivity,,,,Protection,,Protection > Authentication methods > Activity,Registration and usage per method; find who is still on SMS.,registration report,reportsreader,entra-p1,https://learn.microsoft.com/entra/identity/authentication/howto-authentication-methods-activity,,enauth,2026-08
enidp,,,,Protection,,Protection > Identity Protection,User risk and sign-in risk detections; risk policies; risky workload identities.,risk|itdr,secadmin,entra-p2,https://learn.microsoft.com/entra/id-protection/,Get-MgRiskyUser,enca|ensign,2026-08
ensspr,,,,Protection,,Protection > Password reset,SSPR config: methods; registration; notifications. Cloud-user SSPR ships with M365 subscriptions; Entra P1 adds on-prem writeback.,password reset,authpolicyadmin,entra-p1,https://learn.microsoft.com/entra/identity/authentication/concept-sspr-howitworks,,enauth|mypw,2026-08
enscore,,,,Protection,,Protection > Identity Secure Score,Identity posture score with prioritized improvement actions.,posture,secreader,free,https://learn.microsoft.com/entra/identity/monitoring-health/concept-identity-secure-score,,dess,2026-08
ensecurity,,,,Protection,,Protection > Security center,Identity security hub: secure score; named locations; risk surfaces.,,secadmin,free,,,enscore|enidp,2026-08
enmfaunblock,,,,Protection,,Protection > Multifactor authentication > Block/unblock users,Unblock a user whose MFA was blocked after fraud reports.,fraud alert,authpolicyadmin,free,,,enpumfa|mymfa,2026-08
enpumfa,,,,Protection,,Entra admin center > legacy per-user MFA page,Legacy per-user MFA states (enabled/enforced); migrate to CA + methods policy.,legacy mfa,authadmin,free,https://learn.microsoft.com/entra/identity/authentication/howto-mfa-userstates,,enauth|enca,2026-08
enpassprot,setting,,Password protection,Protection,,Protection > Authentication methods > Password protection,Banned password lists and smart lockout; on-prem agents extend it to AD DS.,banned passwords|lockout,authpolicyadmin,entra-p1,https://learn.microsoft.com/entra/identity/authentication/concept-password-ban-bad,,ensspr,2026-08
ensign,,,,Monitoring,,Identity > Monitoring & health > Sign-in logs,"Interactive, non-interactive, service principal and managed identity sign-ins; filter by correlation ID for support cases.",signin|logs,reportsreader,free,https://learn.microsoft.com/entra/identity/monitoring-health/concept-sign-ins,Get-MgAuditLogSignIn,enidp|enerror,2026-08
ennew,,,,Monitoring,,Identity > Overview > What's new,Entra change announcements and roadmap highlights.,changes,gr,free,,,mc,2026-08
enerror,,,,Monitoring,,,Paste an AADSTS error code and get the explanation straight from the sign-in service.,aadsts|error lookup,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,ensign,2026-08
enusers,,,,Users & groups,,Identity > Users > All users,Create; edit; license; block; delete users. The L1 anchor page.,user admin,useradmin,free,https://learn.microsoft.com/entra/fundamentals/how-to-create-delete-users,Get-MgUser,usermgmt|musers,2026-08
engroups,,,,Users & groups,,Identity > Groups > All groups,"Security and M365 groups; dynamic rules; expiration, naming policy.",dynamic groups,groupsadmin,free,https://learn.microsoft.com/entra/fundamentals/how-to-manage-groups,Get-MgGroup,enusers,2026-08
