# phase 4 settings encyclopedia: defender. Advanced-features toggle wall starters.
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified,blastRadius,standards
tog-tamper,setting,,Tamper protection (tenant toggle),Settings > Endpoints,,Settings > Endpoints > Advanced features > Tamper protection,Blocks local and script-based changes to Defender AV settings; leave ON; per-device exceptions via troubleshooting mode.,tamper|av hardening,xdr-authset,mde-p1,https://learn.microsoft.com/defender-endpoint/prevent-changes-to-security-settings-with-tamper-protection,,demdeadvfeats|inantivirus,2026-08,med,cis
tog-edrblock,setting,,EDR in block mode,Settings > Endpoints,,Settings > Endpoints > Advanced features > EDR in block mode,Lets EDR remediate malicious artifacts even when a third-party AV is primary.,behind 3rd party av,xdr-authset,mde-p2,https://learn.microsoft.com/defender-endpoint/edr-in-block-mode,,demdeadvfeats,2026-08,med,cis
tog-autoresolve,setting,,Automatically resolve alerts,Settings > Endpoints,,Settings > Endpoints > Advanced features > Automatically resolve alerts,AIR-remediated alerts close themselves; keep on unless metrics need manual closure.,alert hygiene,xdr-authset,mde-p2,,,air|demdeadvfeats,2026-08,low,
tog-liveresponse,setting,,Live response,Settings > Endpoints,,Settings > Endpoints > Advanced features > Live response,Remote shell sessions on onboarded devices; gate unsigned scripts separately; audit sessions.,remote shell,xdr-authset,mde-p2,https://learn.microsoft.com/defender-endpoint/live-response,,demdelibrary|demdeadvfeats,2026-08,med,
tog-webcontent,setting,,Web content filtering (toggle),Settings > Endpoints,,Settings > Endpoints > Advanced features > Web content filtering,Enables the category-blocking feature that demdewcf policies then configure.,web filter,xdr-authset,mde-p1,,,demdewcf,2026-08,low,
tog-liveresponse-servers,setting,,Live response for servers,Settings > Endpoints,,Settings > Endpoints > Advanced features > Live response for servers,Extends live response to server OS; pair with change control on production hosts.,server shell,xdr-authset,mde-p2,,,tog-liveresponse,2026-08,med,
tog-liveresponse-unsigned,setting,,Live response unsigned script execution,Settings > Endpoints,,Settings > Endpoints > Advanced features > Live response unsigned script execution,Allows unsigned scripts in live response sessions; convenience vs integrity trade; keep off unless the library is signed nowhere.,unsigned scripts,xdr-authset,mde-p2,,,tog-liveresponse|demdelibrary,2026-08,high,
tog-customnetind,setting,,Custom network indicators,Settings > Endpoints,,Settings > Endpoints > Advanced features > Custom network indicators,Required before IP/URL indicators can block; needs network protection in block mode on devices.,ip url indicators,xdr-authset,mde-p1,,,demdetiip|demdetiurls|de-networkprotection,2026-08,med,
tog-allowblockfile,setting,,Allow or block file,Settings > Endpoints,,Settings > Endpoints > Advanced features > Allow or block file,Enables file hash indicators to actively block and quarantine; requires Defender AV as primary with cloud protection.,file indicators|quarantine,xdr-authset,mde-p1,,,demdetifiles,2026-08,med,
tog-deception,setting,,Deception,Settings > Endpoints,,Settings > Endpoints > Advanced features > Deception,Plants decoy accounts/hosts/lures; high-fidelity alerts on any touch. Scope via deception rules after enabling.,decoys|lures|honeytoken,xdr-authset,mde-p2,https://learn.microsoft.com/defender-xdr/deception-overview,,de-mdi-actionaccounts,2026-08,med,
