# phase 4-style settings encyclopedia: purview (added post-phase-7 coverage audit).
# Breadcrumb paths; portal deep-link verification tracked in docs/17 B6.
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified,blastRadius,standards
set-pu-auditenable,setting,,Auditing on/off state,Audit & search,,Purview portal > Audit (banner when off),On by default for new tenants; if searches return nothing check the state first. Turning it on starts logging from that moment only: history before enablement does not exist.,enable auditing|unified audit log,complianceadmin,free,https://learn.microsoft.com/purview/audit-log-enable-disable,Get-AdminAuditLogConfig,puaudit,2026-08,low,
set-pu-auditret,setting,,Audit retention policies,Audit & search,,Purview portal > Audit > Policies > Audit retention policies,Custom policies keep chosen record types or users longer than the default; one year needs Premium licensing and ten years its own add-on per user.,audit retention|10 year,complianceadmin,e5-comp,https://learn.microsoft.com/purview/audit-log-retention-policies,,puaudit,2026-08,low,
set-pu-whichtool,concept,,Audit vs sign-in logs vs message trace,Audit & search,,,Pick the tool by question: who touched content or settings = Audit; who authenticated from where = Entra sign-in logs; where is the email = message trace. Asking the wrong tool wastes an hour.,which log|investigation start,,free,https://learn.microsoft.com/purview/audit-solutions-overview,,puaudit|ensign|exmt,2026-08,low,
set-pu-mandatory,setting,,Mandatory labeling,Data protection,,Purview portal > Information protection > Label publishing policy settings,Requires users to label documents and mail. Roll out only after label meanings are trained; mandatory-with-confused-users produces garbage labels that stick.,require label|force labeling,complianceadmin,free,https://learn.microsoft.com/purview/sensitivity-labels,,puinfoprot,2026-08,med,
set-pu-autolabel,setting,,Auto-labeling: client side vs service side,Data protection,,Purview portal > Information protection > Auto-labeling,Client side labels while users work in Office apps; service side labels data at rest in SharePoint OneDrive and Exchange. Service policies start in simulation: read the results before turning on.,auto label|simulation mode,complianceadmin,e5-comp,https://learn.microsoft.com/purview/apply-sensitivity-label-automatically,,puinfoprot,2026-08,med,
set-pu-labelencrypt,setting,,Label encryption and co-authoring,Data protection,,Purview portal > Information protection > Labels > Encryption,Labels can encrypt with assigned rights. The tenant setting enabling co-authoring for encrypted files is one-way: it cannot be turned off once on. Plan before flipping.,label encryption|coauthoring,complianceadmin,free,https://learn.microsoft.com/purview/sensitivity-labels-coauthoring,,puinfoprot,2026-08,high,
set-pu-customsit,setting,,Custom sensitive info types,Data classification,,Purview portal > Data classification > Sensitive info types > Create,Regex plus keywords plus confidence levels. Test against sample text from the SIT flyout before putting one in a DLP policy; a greedy pattern floods alerts tenant-wide.,custom sit|regex pattern,complianceadmin,free,https://learn.microsoft.com/purview/create-a-custom-sensitive-information-type,,pusit|pudlp,2026-08,med,
set-pu-edm,setting,,Exact Data Match classifiers,Data classification,,Purview portal > Data classification > EDM classifiers,Match against your actual data table (hashed and uploaded) instead of patterns: near-zero false positives at the cost of a schema and refresh pipeline.,edm|exact data match,compliancedata,e5-comp,https://learn.microsoft.com/purview/sit-learn-about-exact-data-match-based-sits,,pusit,2026-08,low,
set-pu-trainable,setting,,Trainable classifiers,Data classification,,Purview portal > Data classification > Trainable classifiers,Pre-trained categories (resumes and source code and more) work immediately; custom ones need seed content and test feedback cycles before they are usable in policy.,trainable classifier,complianceadmin,e5-comp,https://learn.microsoft.com/purview/classifier-get-started-with,,puclassifiers,2026-08,low,
set-pu-dlpmodes,setting,,DLP policy modes: test then tips then on,DLP,,Purview portal > Data loss prevention > Policy > Mode,The rollout ladder: test silently first and read matches; add policy tips next so users see and can report false positives; enforce only after tuning. Skipping the ladder breaks business mail flows.,test mode|policy tips,complianceadmin,o365-e3,https://learn.microsoft.com/purview/dlp-create-deploy-policy,,pudlp,2026-08,high,
set-pu-endpointdlp,setting,,Endpoint DLP settings,DLP,,Purview portal > Data loss prevention > Endpoint DLP settings,Restricted apps and app groups; browser and service-domain restrictions; advanced classification. Devices must be onboarded (the same onboarding as Defender for Endpoint).,endpoint dlp|restricted apps,complianceadmin,e5-comp,https://learn.microsoft.com/purview/endpoint-dlp-learn-about,,pudlp|demdeonboard,2026-08,med,
set-pu-dlpalerts,concept,,DLP alerts live in the Defender portal,DLP,,Defender portal > Incidents & alerts,DLP investigation moved to security.microsoft.com: alerts correlate into incidents there and the compliance portal only manages the policies. Tell the desk once and save everyone the hunt.,dlp alerts|where are alerts,secreader,o365-e3,https://learn.microsoft.com/purview/dlp-alerts-dashboard-learn,,pudlp|deincidents,2026-08,low,
set-pu-precedence,concept,,Retention precedence: the four principles,Retention & records,,,When policies and labels conflict: retention wins over deletion; then the longest retention period wins; then explicit inclusion beats implicit; finally the shortest deletion period wins. Answers most "why is this still here" tickets.,retention conflict|precedence,,o365-e3,https://learn.microsoft.com/purview/retention,,pudlm|purecmon,2026-08,low,
set-pu-adaptive,setting,,Adaptive vs static retention scopes,Retention & records,,Purview portal > Roles and scopes > Adaptive scopes,Adaptive scopes are query-based membership (attributes) that track joiners and leavers on their own; static scopes are fixed location lists you maintain forever.,adaptive scope,recordsmgmt,e5-comp,https://learn.microsoft.com/purview/retention,,pudlm,2026-08,low,
set-pu-pstimport,setting,,PST import service,Retention & records,,Purview portal > Data lifecycle management > Import,Network upload (free) or drive shipping into target mailboxes; pair the import with retention decisions so imported mail does not instantly violate policy.,pst import|drive shipping,complianceadmin,o365-e3,https://learn.microsoft.com/purview/importing-pst-files-to-office-365,,pudlm|ex,2026-08,low,
set-pu-holdvsret,concept,,Hold vs retention: which stops deletion,Audit & search,,,A hold preserves everything for a case including recoverable items and beats every retention or deletion policy while active. Retention governs normal lifecycle. Release order matters: check holds before blaming retention.,hold vs retention,ediscmgr,o365-e3,https://learn.microsoft.com/purview/ediscovery-create-a-litigation-hold,,puedisc|pudlm,2026-08,low,
set-pu-searchquery,concept,,Search query syntax in Purview,Audit & search,,,Content search and eDiscovery use KQL-style conditions: kind and participants and date ranges; exports have size and item limits per run. Test the query on one custodian before searching the tenant.,search syntax|kql purview,ediscmgr,o365-e3,https://learn.microsoft.com/purview/ediscovery-keyword-queries-and-search-conditions,,pucontentse|puedisc,2026-08,low,
set-pu-irmtemplates,setting,,IRM policy templates and the HR connector,Risk & privacy,,Purview portal > Insider risk management > Policies,Templates like departing-employee data theft need their signals wired: the HR connector for resignation dates and DLP for exfil events. Adaptive protection can feed risk tiers into Conditional Access.,irm templates|hr connector,complianceadmin,e5-comp,https://learn.microsoft.com/purview/insider-risk-management-policies,,puirm|enca,2026-08,med,
set-pu-rolegroups,concept,,Purview role groups vs Entra roles,Admin,,,Purview permissions are role groups granted in the Purview portal (or Security & Compliance PowerShell) and invisible in Entra role assignments. eDiscovery Manager sees own cases; eDiscovery Administrator sees all. Audit Reader searches audit without broader compliance rights.,role groups|permissions model,complianceadmin,free,https://learn.microsoft.com/purview/purview-permissions,Connect-IPPSSession,puperms,2026-08,low,
set-pu-copilotready,concept,,Make Copilot safe: the readiness bundle,Data protection,,,Before Copilot: label the crown jewels; run the DSPM for AI oversharing assessment; fix broad SharePoint sharing (SharePoint Advanced Management helps); then monitor Copilot interactions in audit. Grounding permissions is the whole game: Copilot reads whatever the user already can.,copilot readiness|oversharing,complianceadmin,e5-comp,https://learn.microsoft.com/purview/ai-microsoft-purview,,pudspmai|puinfoprot|spexternal,2026-08,med,
