# phase 4 settings encyclopedia: sentinel. Seed rows prove the pipeline; bulk authoring is phase 4.
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified,blastRadius,standards
set-sen-dailycap,setting,,Daily ingestion cap,Cost,,Log Analytics workspace > Usage and estimated costs > Daily cap,Caps ALL ingestion for the day when hit; security tables stop too. Use commitment tiers + DCR transforms instead of caps on SOC workspaces.,daily cap|ingestion stop,az-la-contrib,sentinel-usage,https://learn.microsoft.com/azure/azure-monitor/logs/daily-cap,,sencost|senretention,2026-08,high,
set-sen-commitment,setting,,Commitment tier,Cost,,Microsoft Sentinel > Settings > Pricing,Fixed daily GB tiers beat pay-as-you-go at volume; tier changes have a lock-in window.,pricing tier,az-la-contrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/billing,,sencost,2026-08,med,
set-sen-tablerbac,setting,,Table-level RBAC,Access,,Log Analytics workspace > Tables + role assignments,Grant readers specific tables only; verify with a scoped test account.,granular access,az-owner,sentinel-usage,https://learn.microsoft.com/azure/azure-monitor/logs/manage-access,,senretention,2026-08,med,
set-sen-purge,setting,,Data purge API,Compliance,,ARM: workspaces/purge API,Irreversible GDPR-style deletes; slow (up to days); audit the request ids.,gdpr|delete data,az-owner,sentinel-usage,https://learn.microsoft.com/rest/api/loganalytics/workspace-purge/purge,,senretention,2026-08,high,
set-sen-onboard,setting,,Connect workspace to Defender portal,Workspace,,Defender portal > System > Settings > Microsoft Sentinel > Workspaces,Onboard the Sentinel workspace into the unified SOC experience; pick the primary workspace.,unified soc|onboarding,az-owner,sentinel-usage,https://learn.microsoft.com/azure/sentinel/quickstart-onboard,,azsentinel|senconnectors,2026-08,med,
set-sen-remove,setting,,Remove Microsoft Sentinel,Workspace,,Microsoft Sentinel > Settings > Remove Microsoft Sentinel,Offboards Sentinel from the workspace; rules and automation go with it; data stays per retention. Read the order-of-operations first.,offboard|decommission,az-owner,sentinel-usage,https://learn.microsoft.com/azure/sentinel/offboard,,set-sen-onboard,2026-08,high,
set-sen-wsretention,setting,,Workspace default retention,Cost,,Log Analytics workspace > Usage and estimated costs > Data retention,Interactive retention default for all tables; Sentinel-enabled workspaces include 90 days free.,retention default,az-la-contrib,sentinel-usage,https://learn.microsoft.com/azure/azure-monitor/logs/data-retention-configure,,senretention|set-sen-tableplan,2026-08,med,
set-sen-tableplan,setting,,Table plan (Analytics/Basic/Auxiliary),Cost,,Log Analytics workspace > Tables > (table) > Table plan,Cheaper tiers cut ingestion cost but limit query features and rule support; verify detections before demoting a table.,basic logs|auxiliary,az-la-contrib,sentinel-usage,https://learn.microsoft.com/azure/azure-monitor/logs/data-platform-logs,,senretention|sencost,2026-08,high,
set-sen-anomalies,setting,,Anomalies (analytics settings),Analytics,,Microsoft Sentinel > Settings > Analytics settings > Anomalies,UEBA-powered anomaly detections; tune thresholds per anomaly instead of disabling the family.,anomaly rules,az-sentinelcontrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/soc-ml-anomalies,,senueba|xdranalytics,2026-08,low,
set-sen-fusion,setting,,Fusion rule configuration,Analytics,,Analytics > Fusion (advanced multistage attack detection),Correlates weak signals into high-confidence incidents; keep enabled; configure source signals.,multistage|ml incidents,az-sentinelcontrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/fusion,,xdranalytics,2026-08,med,
set-sen-tiupload,setting,,Threat intel upload API,Threat intel,,STIX objects via the TI upload API (app registration),Push indicators from your TIP with an app registration; the modern replacement for the Graph tiIndicators route.,stix|tip integration,az-sentinelcontrib,sentinel-usage,https://learn.microsoft.com/azure/sentinel/connect-threat-intelligence-upload-api,,senti,2026-08,med,
