# enrichment: purview. Missing own portals + groups/roles/licenses for the cmd.ms set.
# Paths inside the redesigned Purview portal are breadcrumbs; deep-link rot is tracked in docs/17 B6.
id,kind,category,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
pu,,purview,,,Admin,,,The suite home: risk and compliance solutions on the left; unified governance lives in the catalog.,compliance portal,,free,,,puperms|pucmgr,2026-08
puaudit,,purview,,,Audit & search,,Purview portal > Solutions > Audit,The master activity log across workloads. Standard keeps 180 days; Premium one year with high-value events like MailItemsAccessed.,unified audit log|who did what,auditreader,free,https://learn.microsoft.com/purview/audit-solutions-overview,ps-audit-search,pucontentse|set-pu-whichtool,2026-08
pucontentse,,purview,,,Audit & search,,Purview portal > Solutions > eDiscovery > Content search,Search and export across mailboxes and sites without opening a case; eDiscovery (Standard) capability from E3.,content search|export mailbox,ediscmgr,o365-e3,https://learn.microsoft.com/purview/ediscovery-content-search,,puedisc|puaudit,2026-08
puedisc,,purview,,,Audit & search,,Purview portal > Solutions > eDiscovery,Cases with holds and searches and exports. Premium adds custodians and collections and review sets on E5.,legal hold|case,ediscmgr,o365-e3,https://learn.microsoft.com/purview/ediscovery-overview,ps-litigation-hold,pucontentse|set-pu-holdvsret,2026-08
puactexp,,purview,,,Data classification,,Purview portal > Solutions > Information protection > Activity explorer,Label and DLP activity over time: what got labeled or downgraded or matched where.,label activity,secreader,e5-comp,https://learn.microsoft.com/purview/data-classification-activity-explorer,,pucontentex|puclassifiers,2026-08
pucontentex,,purview,,,Data classification,,Purview portal > Solutions > Information protection > Content explorer,Browse where sensitive info and labels actually sit; access to content itself needs the extra viewer role groups.,where is sensitive data,complianceadmin,e5-comp,https://learn.microsoft.com/purview/data-classification-content-explorer,,puactexp|pusit,2026-08
pusit,,purview,,,Data classification,,Purview portal > Data classification > Sensitive info types,Built-in and custom sensitive info types; test any SIT against sample text from its flyout.,sit|sensitive info types,complianceadmin,free,https://learn.microsoft.com/purview/sit-sensitive-information-type-learn-about,,set-pu-customsit|set-pu-edm,2026-08
puclassifiers,,purview,,,Data classification,,Purview portal > Solutions > Data classification > Classifiers,Trainable classifiers: pre-trained business categories plus your own seeded ones.,trainable classifiers,complianceadmin,e5-comp,https://learn.microsoft.com/purview/classifier-learn-about,,pusit|set-pu-trainable,2026-08
puinfoprot,,purview,,,Data protection,,Purview portal > Solutions > Information protection,Sensitivity labels: scopes and publishing and encryption and auto-labeling.,sensitivity labels|mip,complianceadmin,free,https://learn.microsoft.com/purview/information-protection,,set-pu-autolabel|set-pu-mandatory|set-pu-labelencrypt,2026-08
pudlp,,purview,,,Data protection,,Purview portal > Solutions > Data loss prevention,DLP policies across Exchange SharePoint OneDrive Teams endpoints and on-prem; alerts surface in the Defender portal.,dlp policies,complianceadmin,o365-e3,https://learn.microsoft.com/purview/dlp-learn-about-dlp,,set-pu-dlpmodes|set-pu-endpointdlp|set-pu-dlpalerts,2026-08
