# phase 5 KQL library. Single-line code only (loader is line-based).
# KQL string literals use single quotes on purpose: valid KQL, no CSV escaping.
id,title,subject,table,code,tags,docs,verified,related
kql-signin-failures,Failed sign-ins by error code (24h),entra,SigninLogs,SigninLogs | where TimeGenerated > ago(24h) | where ResultType != '0' | summarize count() by ResultType | order by count_ desc,signin|aadsts,https://learn.microsoft.com/entra/identity/monitoring-health/concept-sign-ins,2026-08,ensign|enerror
kql-legacy-auth,Legacy auth still in use (30d),entra,SigninLogs,"SigninLogs | where TimeGenerated > ago(30d) | where ClientAppUsed in ('POP3','IMAP4','SMTP','Exchange ActiveSync','Other clients') | summarize count() by UserPrincipalName, ClientAppUsed",legacy auth|basic auth,https://learn.microsoft.com/entra/identity/conditional-access/block-legacy-authentication,2026-08,enca|msp-castarter
kql-risky-signins,Medium/high risk sign-ins (7d),entra,SigninLogs,"SigninLogs | where TimeGenerated > ago(7d) | where RiskLevelDuringSignIn in ('medium','high') | project TimeGenerated, UserPrincipalName, RiskLevelDuringSignIn, IPAddress, AppDisplayName",risk|identity protection,,2026-08,enidp
kql-usage-cost,Billable ingestion GB by table (30d),sentinel,Usage,"Usage | where TimeGenerated > ago(30d) | where IsBillable == true | summarize GB = round(sum(Quantity) / 1024, 2) by DataType | order by GB desc",cost|billing,https://learn.microsoft.com/azure/sentinel/billing,2026-08,sencost
kql-sentinel-health,Connector and rule failures (7d),sentinel,SentinelHealth,"SentinelHealth | where TimeGenerated > ago(7d) | where Status != 'Success' | summarize count() by SentinelResourceName, Status",health|connector down,https://learn.microsoft.com/azure/sentinel/health-audit,2026-08,senhealth
kql-inbox-rules,New or changed inbox rules (audit),m365,OfficeActivity,"OfficeActivity | where TimeGenerated > ago(14d) | where Operation in ('New-InboxRule','Set-InboxRule') | project TimeGenerated, UserId, Operation, Parameters",bec|inbox rules,https://learn.microsoft.com/purview/audit-log-activities,2026-08,scenario-compromise|puaudit
kql-asr-hits,ASR rule hits by type,intune,DeviceEvents,DeviceEvents | where Timestamp > ago(7d) | where ActionType startswith 'Asr' | summarize count() by ActionType | order by count_ desc,asr|attack surface,https://learn.microsoft.com/defender-endpoint/attack-surface-reduction,2026-08,inasr|deasrreport
kql-zap-actions,ZAP post-delivery actions (7d),defender,EmailPostDeliveryEvents,"EmailPostDeliveryEvents | where Timestamp > ago(7d) | where ActionType has 'ZAP' | project Timestamp, RecipientEmailAddress, ActionType, DeliveryLocation",zap|post delivery,https://learn.microsoft.com/defender-office-365/zero-hour-auto-purge,2026-08,air
kql-signin-ca-failures,Sign-ins failing Conditional Access (7d),entra,SigninLogs,"SigninLogs | where TimeGenerated > ago(7d) | where ConditionalAccessStatus == 'failure' | summarize count() by UserPrincipalName, AppDisplayName | order by count_ desc",ca failures,,2026-08,enca
kql-signin-nomfa,Successful single-factor sign-ins (7d),entra,SigninLogs,"SigninLogs | where TimeGenerated > ago(7d) | where ResultType == '0' and AuthenticationRequirement == 'singleFactorAuthentication' | summarize count() by UserPrincipalName | order by count_ desc",mfa gap,,2026-08,msp-castarter
kql-signin-countries,Sign-in countries per user (7d),entra,SigninLogs,"SigninLogs | where TimeGenerated > ago(7d) | where ResultType == '0' | summarize Countries = dcount(tostring(LocationDetails.countryOrRegion)), Sample = make_set(tostring(LocationDetails.countryOrRegion), 5) by UserPrincipalName | where Countries > 1",impossible travel|geo,,2026-08,
kql-guest-signins,Guest account sign-in activity (30d),entra,SigninLogs,"SigninLogs | where TimeGenerated > ago(30d) | where UserType == 'Guest' | summarize count() by UserPrincipalName, AppDisplayName",guests|b2b,,2026-08,enguests
kql-breakglass-use,Break-glass account usage (any),entra,SigninLogs,"SigninLogs | where UserPrincipalName in ('bg1@contoso.com','bg2@contoso.com') | project TimeGenerated, UserPrincipalName, IPAddress, AppDisplayName, ResultType",break-glass|emergency,,2026-08,enbreakglass
kql-audit-role-changes,Directory role membership changes (14d),entra,AuditLogs,"AuditLogs | where TimeGenerated > ago(14d) | where OperationName in ('Add member to role','Remove member from role') | project TimeGenerated, OperationName, InitiatedBy, TargetResources",role changes|privilege,,2026-08,enroles
kql-audit-app-consent,Application consent grants (30d),entra,AuditLogs,"AuditLogs | where TimeGenerated > ago(30d) | where OperationName has 'Consent to application' | project TimeGenerated, InitiatedBy, TargetResources",consent|oauth,,2026-08,enconsent|decaoauth
kql-audit-user-lifecycle,User create/delete operations (14d),entra,AuditLogs,"AuditLogs | where TimeGenerated > ago(14d) | where OperationName in ('Add user','Delete user') | project TimeGenerated, OperationName, InitiatedBy",joiners|leavers,,2026-08,usermgmt
kql-risky-users-current,Users currently at risk,entra,AADRiskyUsers,"AADRiskyUsers | where RiskState == 'atRisk' | project UserPrincipalName, RiskLevel, RiskLastUpdatedDateTime",risk queue,,2026-08,enidp
kql-sp-failures,Service principal sign-in failures (7d),entra,AADServicePrincipalSignInLogs,"AADServicePrincipalSignInLogs | where TimeGenerated > ago(7d) | where ResultType != '0' | summarize count() by ServicePrincipalName, ResultType",workload identity,,2026-08,enapps
kql-audit-forwarding,Mailbox forwarding changes (30d),m365,OfficeActivity,"OfficeActivity | where TimeGenerated > ago(30d) | where Operation == 'Set-Mailbox' and Parameters has 'Forwarding' | project TimeGenerated, UserId, Parameters",forwarding|bec,,2026-08,exforwarding
kql-spo-mass-download,Mass SharePoint downloads (24h),m365,OfficeActivity,"OfficeActivity | where TimeGenerated > ago(24h) | where Operation == 'FileDownloaded' | summarize Files = count() by UserId, bin(TimeGenerated, 1h) | where Files > 100",exfiltration|dlp,,2026-08,
kql-anon-links,Anonymous link creation (14d),m365,OfficeActivity,"OfficeActivity | where TimeGenerated > ago(14d) | where Operation in ('AnonymousLinkCreated','SharingSet') | project TimeGenerated, UserId, OfficeObjectId, Operation",sharing|anyone links,,2026-08,spexternal
kql-mailbox-perm-grants,Mailbox permission grants (30d),m365,OfficeActivity,"OfficeActivity | where TimeGenerated > ago(30d) | where Operation in ('Add-MailboxPermission','Add-RecipientPermission') | project TimeGenerated, UserId, Parameters",delegation|full access,,2026-08,usermgmt
kql-exchange-admin-ops,Top Exchange admin operations (7d),m365,OfficeActivity,OfficeActivity | where TimeGenerated > ago(7d) | where RecordType == 'ExchangeAdmin' | summarize count() by Operation | top 20 by count_,exchange audit,,2026-08,ex
