# phase 5 PowerShell library. Single-line code only (loader is line-based).
# Every cmdlet verified against its module; placeholders use contoso.com.
id,title,subject,module,scopes,code,tags,docs,verified,related
ps-revoke-sessions,Revoke all sessions for a user,entra,Microsoft.Graph,User.RevokeSessions.All,Revoke-MgUserSignInSession -UserId user@contoso.com,compromise|revoke,https://learn.microsoft.com/powershell/module/microsoft.graph.users.actions/revoke-mgusersigninsession,2026-08,scenario-compromise
ps-block-user,Block sign-in for a user,entra,Microsoft.Graph,User.EnableDisableAccount.All,Update-MgUser -UserId user@contoso.com -AccountEnabled:$false,compromise|disable,,2026-08,scenario-compromise|usermgmt
ps-create-tap,Issue a Temporary Access Pass,entra,Microsoft.Graph,UserAuthenticationMethod.ReadWrite.All,New-MgUserAuthenticationTemporaryAccessPassMethod -UserId user@contoso.com,tap|mfa reset,https://learn.microsoft.com/entra/identity/authentication/howto-authentication-temporary-access-pass,2026-08,enauth
ps-list-mfa-methods,List a user's registered auth methods,entra,Microsoft.Graph,UserAuthenticationMethod.Read.All,Get-MgUserAuthenticationMethod -UserId user@contoso.com,mfa|methods,,2026-08,enauth|mymfa
ps-stale-devices,Devices silent for 180+ days,entra,Microsoft.Graph,Device.Read.All,"Get-MgDevice -All | Where-Object { $_.ApproximateLastSignInDateTime -lt (Get-Date).AddDays(-180) } | Select-Object DisplayName, ApproximateLastSignInDateTime",stale|cleanup,,2026-08,endevices
ps-message-trace,Trace mail to a recipient (48h),m365,ExchangeOnlineManagement,Exchange admin role,Get-MessageTrace -RecipientAddress user@contoso.com -StartDate (Get-Date).AddDays(-2) -EndDate (Get-Date),trace|mail flow,https://learn.microsoft.com/powershell/module/exchange/get-messagetrace,2026-08,exmt
ps-quarantine-release,Release quarantined mail for a recipient,defender,ExchangeOnlineManagement,Quarantine Administrator,Get-QuarantineMessage -RecipientAddress user@contoso.com | Release-QuarantineMessage -ReleaseToAll,quarantine|release,https://learn.microsoft.com/powershell/module/exchange/release-quarantinemessage,2026-08,deqre
ps-connect-apponly,Connect Graph app-only (certificate),automation,Microsoft.Graph,app roles as consented,Connect-MgGraph -ClientId $appId -TenantId $tenantId -CertificateThumbprint $thumb,app-only|automation,https://learn.microsoft.com/powershell/microsoftgraph/app-only,2026-08,graphps
ps-connect-delegated,Connect Graph with least-privilege scopes,automation,Microsoft.Graph,varies,"Connect-MgGraph -Scopes 'User.Read.All','AuditLog.Read.All' -NoWelcome",connect|scopes,https://learn.microsoft.com/powershell/microsoftgraph/authentication-commands,2026-08,graphps|ge
ps-current-context,Show the current Graph context and scopes,automation,Microsoft.Graph,none,Get-MgContext,context|troubleshooting,,2026-08,graphps
ps-find-permission,Find which Graph permission a cmdlet needs,automation,Microsoft.Graph,none,Find-MgGraphCommand -Command Get-MgUser | Select-Object -ExpandProperty Permissions -First 1,scopes|discovery,https://learn.microsoft.com/powershell/microsoftgraph/find-mg-graph-command,2026-08,graphps
ps-graph-raw-request,Call any Graph endpoint directly,automation,Microsoft.Graph,varies,Invoke-MgGraphRequest -Method GET -Uri 'https://graph.microsoft.com/beta/identity/conditionalAccess/policies',beta|raw request,,2026-08,graphps
ps-list-sku,List subscribed SKUs and consumed seats,licensing,Microsoft.Graph,Organization.Read.All,"Get-MgSubscribedSku | Select-Object SkuPartNumber, ConsumedUnits",licenses|seats,https://learn.microsoft.com/powershell/module/microsoft.graph.identity.directorymanagement/get-mgsubscribedsku,2026-08,adlicense
ps-user-licenses,Show licenses assigned to a user,licensing,Microsoft.Graph,User.Read.All,Get-MgUserLicenseDetail -UserId user@contoso.com | Select-Object SkuPartNumber,licenses|per user,,2026-08,adlicense
ps-license-errors,Find users with license assignment errors,licensing,Microsoft.Graph,User.Read.All,"Get-MgUser -All -Property Id,UserPrincipalName,LicenseAssignmentStates | Where-Object { $_.LicenseAssignmentStates.Error -ne 'None' } | Select-Object UserPrincipalName",group licensing|errors,,2026-08,adlicense|enlicense
ps-assign-license,Assign a license to a user,licensing,Microsoft.Graph,User.ReadWrite.All,Set-MgUserLicense -UserId user@contoso.com -AddLicenses @{SkuId=$skuId} -RemoveLicenses @(),licenses|assign,,2026-08,adlicense
ps-ca-policies,Export Conditional Access policies,entra,Microsoft.Graph,Policy.Read.All,Get-MgIdentityConditionalAccessPolicy -All | ConvertTo-Json -Depth 10 | Out-File ca-policies.json,ca|backup,https://learn.microsoft.com/powershell/module/microsoft.graph.identity.signins/get-mgidentityconditionalaccesspolicy,2026-08,enca
ps-ca-reportonly,List policies still in report-only mode,entra,Microsoft.Graph,Policy.Read.All,Get-MgIdentityConditionalAccessPolicy -All | Where-Object State -eq 'enabledForReportingButNotEnforced' | Select-Object DisplayName,ca|report only,,2026-08,enca|encatemplates
ps-named-locations,List named locations,entra,Microsoft.Graph,Policy.Read.All,Get-MgIdentityConditionalAccessNamedLocation -All | Select-Object DisplayName,ca|locations,,2026-08,enca
ps-signin-logs,Pull sign-in logs for one user,entra,Microsoft.Graph,AuditLog.Read.All,"Get-MgAuditLogSignIn -Filter ""userPrincipalName eq 'user@contoso.com'"" -Top 50",signin logs,,2026-08,ensign
ps-audit-logs,Recent directory audit entries,entra,Microsoft.Graph,AuditLog.Read.All,"Get-MgAuditLogDirectoryAudit -Top 50 | Select-Object ActivityDateTime, ActivityDisplayName",audit,,2026-08,ensign
ps-risky-users,List users currently flagged at risk,entra,Microsoft.Graph,IdentityRiskyUser.Read.All,"Get-MgRiskyUser -All | Where-Object RiskState -eq 'atRisk' | Select-Object UserPrincipalName, RiskLevel",risk,,2026-08,enidp
ps-dismiss-risk,Dismiss risk for a user,entra,Microsoft.Graph,IdentityRiskyUser.ReadWrite.All,Invoke-MgDismissRiskyUser -UserIds $userId,risk|remediate,,2026-08,enidp
ps-admin-roles,Count members per directory role,entra,Microsoft.Graph,RoleManagement.Read.Directory,Get-MgDirectoryRole -All | ForEach-Object { [pscustomobject]@{Role=$_.DisplayName; Members=(Get-MgDirectoryRoleMember -DirectoryRoleId $_.Id).Count} },rbac|audit,,2026-08,enroles
ps-global-admins,List Global Administrators,entra,Microsoft.Graph,RoleManagement.Read.Directory,"Get-MgDirectoryRoleMember -DirectoryRoleId (Get-MgDirectoryRole -Filter ""displayName eq 'Global Administrator'"").Id",ga|audit,,2026-08,enroles|enbreakglass
ps-guest-users,List guest accounts with creation date,entra,Microsoft.Graph,User.Read.All,"Get-MgUser -All -Filter ""userType eq 'Guest'"" -Property Id,UserPrincipalName,CreatedDateTime | Select-Object UserPrincipalName, CreatedDateTime",guests|b2b,,2026-08,enguests
ps-app-secrets-expiring,App secrets expiring within 30 days,entra,Microsoft.Graph,Application.Read.All,Get-MgApplication -All | ForEach-Object { $a = $_; $a.PasswordCredentials | Where-Object EndDateTime -lt (Get-Date).AddDays(30) | ForEach-Object { [pscustomobject]@{App=$a.DisplayName; Expires=$_.EndDateTime} } },app secrets|expiry,,2026-08,enappreg
ps-sp-signins,Service principal sign-ins (last 50),entra,Microsoft.Graph.Beta,AuditLog.Read.All,"Get-MgBetaAuditLogSignIn -Filter ""signInEventTypes/any(t: t eq 'servicePrincipal')"" -Top 50",workload identity,,2026-08,enapps
ps-group-members,Export members of a group,entra,Microsoft.Graph,GroupMember.Read.All,Get-MgGroupMember -GroupId $groupId -All | ForEach-Object { $_.AdditionalProperties.userPrincipalName },groups|export,,2026-08,engroups
ps-dynamic-group-rule,Show a dynamic group membership rule,entra,Microsoft.Graph,Group.Read.All,"Get-MgGroup -GroupId $groupId -Property DisplayName,MembershipRule | Select-Object DisplayName, MembershipRule",dynamic groups,,2026-08,engroups
ps-restore-user,Restore a soft-deleted user,entra,Microsoft.Graph,User.ReadWrite.All,Restore-MgDirectoryDeletedItem -DirectoryObjectId $userId,restore|30 days,,2026-08,restorematrix
ps-bitlocker-keys,Read BitLocker recovery keys for a device,entra,Microsoft.Graph,BitlockerKey.Read.All,"Get-MgInformationProtectionBitlockerRecoveryKey -Filter ""deviceId eq '$deviceId'""",bitlocker|recovery,https://learn.microsoft.com/graph/api/bitlocker-list-recoverykeys,2026-08,endevices
ps-laps-password,Read the Windows LAPS password for a device,entra,LAPS,DeviceLocalCredential.Read.All,Get-LapsAADPassword -DeviceIds $deviceId -IncludePasswords -AsPlainText,laps|local admin,https://learn.microsoft.com/windows-server/identity/laps/laps-management-powershell,2026-08,enlaps
ps-intune-devices,List managed devices with compliance state,intune,Microsoft.Graph,DeviceManagementManagedDevices.Read.All,"Get-MgDeviceManagementManagedDevice -All | Select-Object DeviceName, ComplianceState, OperatingSystem, LastSyncDateTime",devices|compliance,,2026-08,indevices
ps-intune-noncompliant,Export noncompliant devices,intune,Microsoft.Graph,DeviceManagementManagedDevices.Read.All,"Get-MgDeviceManagementManagedDevice -Filter ""complianceState eq 'noncompliant'"" -All | Select-Object DeviceName, UserPrincipalName",compliance,,2026-08,incompliance
ps-intune-sync,Trigger a sync on a managed device,intune,Microsoft.Graph,DeviceManagementManagedDevices.PrivilegedOperations.All,Sync-MgDeviceManagementManagedDevice -ManagedDeviceId $deviceId,sync|remote action,,2026-08,indevices
ps-intune-wipe,Wipe a managed device,intune,Microsoft.Graph,DeviceManagementManagedDevices.PrivilegedOperations.All,Clear-MgDeviceManagementManagedDevice -ManagedDeviceId $deviceId -KeepEnrollmentData:$false -KeepUserData:$false,wipe|retire,,2026-08,indevices
ps-intune-policies,List device configuration profiles,intune,Microsoft.Graph,DeviceManagementConfiguration.Read.All,"Get-MgDeviceManagementDeviceConfiguration -All | Select-Object DisplayName, Id",configuration,,2026-08,inconfig
ps-intune-compliance-policies,List compliance policies,intune,Microsoft.Graph,DeviceManagementConfiguration.Read.All,"Get-MgDeviceManagementDeviceCompliancePolicy -All | Select-Object DisplayName, Id",compliance policies,,2026-08,incompliance
ps-autopilot-devices,List Autopilot device registrations,intune,Microsoft.Graph,DeviceManagementServiceConfig.Read.All,"Get-MgDeviceManagementWindowsAutopilotDeviceIdentity -All | Select-Object SerialNumber, GroupTag, EnrollmentState",autopilot|hwid,,2026-08,inap
ps-connect-exo,Connect to Exchange Online,m365,ExchangeOnlineManagement,Exchange admin role,Connect-ExchangeOnline -UserPrincipalName admin@contoso.com -ShowBanner:$false,connect|exo,https://learn.microsoft.com/powershell/exchange/connect-to-exchange-online-powershell,2026-08,exops
ps-connect-ipps,Connect to Security and Compliance PowerShell,purview,ExchangeOnlineManagement,Compliance admin role,Connect-IPPSSession -UserPrincipalName admin@contoso.com,connect|purview,,2026-08,exops|puaudit
ps-mailbox-forwarding,Find mailboxes with external forwarding,m365,ExchangeOnlineManagement,Exchange admin role,"Get-Mailbox -ResultSize Unlimited | Where-Object { $_.ForwardingSmtpAddress } | Select-Object UserPrincipalName, ForwardingSmtpAddress",forwarding|bec,,2026-08,exforwarding
ps-inbox-rules-user,Dump inbox rules for a mailbox,m365,ExchangeOnlineManagement,Exchange admin role,"Get-InboxRule -Mailbox user@contoso.com | Select-Object Name, Enabled, ForwardTo, MoveToFolder, DeleteMessage",inbox rules|bec,,2026-08,scenario-compromise
ps-grant-fullaccess,Grant Full Access to a mailbox,m365,ExchangeOnlineManagement,Exchange admin role,Add-MailboxPermission -Identity shared@contoso.com -User user@contoso.com -AccessRights FullAccess -AutoMapping:$true,shared mailbox|permissions,,2026-08,usermgmt
ps-grant-sendas,Grant Send As on a mailbox,m365,ExchangeOnlineManagement,Exchange admin role,Add-RecipientPermission -Identity shared@contoso.com -Trustee user@contoso.com -AccessRights SendAs -Confirm:$false,send as,,2026-08,usermgmt
ps-convert-shared,Convert a mailbox to shared,m365,ExchangeOnlineManagement,Exchange admin role,Set-Mailbox -Identity user@contoso.com -Type Shared,offboarding|shared,,2026-08,restorematrix
ps-set-autoreply,Set an out-of-office reply as admin,m365,ExchangeOnlineManagement,Exchange admin role,Set-MailboxAutoReplyConfiguration -Identity user@contoso.com -AutoReplyState Enabled -InternalMessage 'Out of office.',auto-reply|ooo,,2026-08,usermgmt
ps-litigation-hold,Place a mailbox on litigation hold,purview,ExchangeOnlineManagement,Exchange admin role,Set-Mailbox -Identity user@contoso.com -LitigationHoldEnabled $true -LitigationHoldDuration 2555,hold|legal,,2026-08,puedisc
ps-transport-rules,Export mail flow rules,m365,ExchangeOnlineManagement,Exchange admin role,"Get-TransportRule | Select-Object Name, State, Priority | Export-Csv rules.csv -NoTypeInformation",transport rules,,2026-08,exrules
ps-audit-search,Search the unified audit log,purview,ExchangeOnlineManagement,Compliance admin role,Search-UnifiedAuditLog -StartDate (Get-Date).AddDays(-7) -EndDate (Get-Date) -Operations 'New-InboxRule' -ResultSize 100,audit|forensics,https://learn.microsoft.com/powershell/module/exchange/search-unifiedauditlog,2026-08,puaudit
ps-dkim-status,Check DKIM signing per domain,defender,ExchangeOnlineManagement,Security admin role,"Get-DkimSigningConfig | Select-Object Domain, Enabled, Status",dkim|email auth,,2026-08,dedkim
ps-antiphish-policy,Review anti-phishing policy settings,defender,ExchangeOnlineManagement,Security admin role,"Get-AntiPhishPolicy | Select-Object Name, EnableSpoofIntelligence, EnableMailboxIntelligence, PhishThresholdLevel",anti-phish,,2026-08,deap
ps-safelinks-policy,Review Safe Links policies,defender,ExchangeOnlineManagement,Security admin role,"Get-SafeLinksPolicy | Select-Object Name, EnableSafeLinksForEmail, ScanUrls, DeliverMessageAfterScan",safe links,,2026-08,deslp
ps-tabl-add-sender,Block a sender tenant-wide,defender,ExchangeOnlineManagement,Security admin role,New-TenantAllowBlockListItems -ListType Sender -Block -Entries 'bad@evil.example' -NoExpiration,tabl|block,https://learn.microsoft.com/powershell/module/exchange/new-tenantallowblocklistitems,2026-08,detallow
ps-hunting-api,Run an advanced hunting query from PowerShell,defender,Microsoft.Graph,ThreatHunting.Read.All,Start-MgSecurityHuntingQuery -Query 'DeviceEvents | take 10',hunting|api,https://learn.microsoft.com/graph/api/security-security-runhuntingquery,2026-08,dehunting
ps-incidents-list,List active security incidents,defender,Microsoft.Graph,SecurityIncident.Read.All,"Get-MgSecurityIncident -Filter ""status eq 'active'"" | Select-Object Id, DisplayName, Severity",incidents,,2026-08,deincidents
ps-spo-connect,Connect to SharePoint Online admin,m365,Microsoft.Online.SharePoint.PowerShell,SharePoint admin role,Connect-SPOService -Url https://contoso-admin.sharepoint.com,connect|spo,,2026-08,sp
