# own additions + enrichment for subject: power (schema: doc 12 §3.1 fields by column)
# minimal seed; full enrichment is phase 3
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
ppage,portal,powerpages,Power Pages,Makers,https://make.powerpages.microsoft.com/,Power Pages maker portal,Build external-facing sites on Dataverse; check site visibility (public/private) first.,pages|portals|site visibility,ppadmin,pp-premium,https://learn.microsoft.com/power-pages/,,pp,2026-08
pp,,,,Admin,,Power Platform admin center,"Environments, DLP for connectors, capacity, tenant isolation.",ppac|environments,ppadmin,free,https://learn.microsoft.com/power-platform/admin/,,powerapps|pa|ppdlp,2026-08
powerapps,,,,Makers,,make.powerapps.com,Canvas and model-driven app maker; sharing rules differ per app type.,maker,ppadmin,free,,,pp,2026-08
ppgateway,portal,,On-premises data gateways,Admin,https://admin.powerplatform.microsoft.com,Power Platform admin center > Gateways,Cluster admin for the on-prem data gateway: members and status and who can use which gateway; update the installers before they age out of support.,data gateway|gateway cluster,ppadmin,free,https://learn.microsoft.com/data-integration/gateway/service-gateway-onprem,,pp,2026-08
set-pp-environments,setting,,Environment types and the default trap,Admin,,Power Platform admin center > Environments,Production and sandbox and developer environments have owners and purpose; the default environment is every licensed user's playground and cannot be deleted: route real workloads out of it early.,default environment|sandbox,ppadmin,free,https://learn.microsoft.com/power-platform/admin/environments-overview,,pp|set-pp-managedenv,2026-08
set-pp-managedenv,setting,,Managed environments,Admin,,Power Platform admin center > Environments > Managed,Premium governance layer: sharing limits and usage insights digests and stricter maker controls; activating it makes every app in the environment require premium licensing.,managed environments|sharing limits,ppadmin,pp-premium,https://learn.microsoft.com/power-platform/admin/managed-environment-overview,,set-pp-environments,2026-08
set-pp-publishtoweb,setting,,Power BI publish to web,Analytics,,Fabric admin portal > Tenant settings > Publish to web,Anyone on the internet can view a published report: no sign-in. Keep it disabled or scoped to specific security groups and audit existing embed codes when you inherit a tenant.,publish to web|public report,fabricadmin,free,https://learn.microsoft.com/power-bi/collaborate-share/service-publish-to-web,,pbi,2026-08
set-pp-coe,concept,,CoE starter kit,Admin,,,Community-supported inventory and governance apps built on Power Platform itself: maker activity and orphaned resources and compliance nudges. Needs an environment and licenses of its own plus someone to own it.,coe kit|governance inventory,ppadmin,pp-premium,https://learn.microsoft.com/power-platform/guidance/coe/starter-kit,,pp|set-pp-environments,2026-08
pa,,,,Makers,,make.powerautomate.com,"Flow maker; run history, owners, connection references.",flows,ppadmin,free,,,pp,2026-08
pbi,,,,Analytics,,Power BI admin portal,"Tenant settings (the toggle wall: export, publish to web, external sharing).",fabric|tenant settings,fabricadmin,pbi-pro,https://learn.microsoft.com/fabric/admin/,,fabric,2026-08
fabric,,,,Analytics,,Fabric portal,"Fabric workloads: lakehouse, pipelines, OneLake; capacities in the admin portal.",onelake,fabricadmin,free,,,pbi,2026-08
cps,,,,Makers,,Copilot Studio,"Agent builder; watch sharing, auth mode and DLP for agents.",copilot studio|agents,ppadmin,free,,,pp,2026-08
ppdlp,setting,,Connector DLP policies,Admin,,PPAC > Policies > Data policies,Classify connectors business/non-business/blocked per environment; the flow-blocked-by-DLP page.,dlp|connectors blocked,ppadmin,free,https://learn.microsoft.com/power-platform/admin/wp-data-loss-prevention,,pp,2026-08
pp-dataverse-security,concept,,Dataverse security model,Admin,,Business units + security roles + teams + column security,"The user-cannot-see-records triage: check role privileges, record ownership, business unit, then column security.",cannot see records,ppadmin,pp-premium,https://learn.microsoft.com/power-platform/admin/wp-security,,pp,2026-08
pp-alm,concept,,Solutions ALM basics,Admin,,Managed vs unmanaged + connection references + environment variables,Deploy managed solutions with connection references and environment variables or the flow breaks on import; the deploy-broke-it classic.,solutions|deploy broke flow,ppadmin,free,https://learn.microsoft.com/power-platform/alm/,,pa|ppdlp,2026-08
pp-flowops,concept,,Flow operations,Makers,,Run history + owners + suspension causes,"Run history retention is limited; add co-owners before people leave; flows suspend on DLP violation or license loss, not only on errors.",flow failed|suspended,ppadmin,free,https://learn.microsoft.com/power-automate/limits-and-config,,pa|pp-alm,2026-08
pp-capacity,setting,,Dataverse capacity,Admin,,PPAC > Resources > Capacity,Database/file/log split per environment; over-capacity blocks restores and copies before anything visibly breaks.,storage|over capacity,ppadmin,free,https://learn.microsoft.com/power-platform/admin/capacity-storage,,pp,2026-08
