# phase 7 seeds: error-code encyclopedia records (AADSTS / enrollment / NDR families).
# category is per-row here because this file spans subjects.
id,kind,category,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
aadsts50076,concept,entra,,AADSTS50076: MFA required,Error codes,,,Sign-in interrupted because multifactor authentication is required and was not completed; expected after MFA or Conditional Access policy changes and from new devices or locations. The user completes MFA or re-registers methods; this code alone is not an outage.,mfa required|strong authentication|sign-in error,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enca|enpumfa|ensign,2026-08
aadsts53003,concept,entra,,AADSTS53003: blocked by Conditional Access,Error codes,,,Token issuance was blocked by a Conditional Access policy. Open the sign-in log entry and read its Conditional Access tab to see which policy failed and why; replay the scenario in What If before changing any policy.,conditional access blocked|access policy|sign-in error,,entra-p1,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enca|encawhatif|ensign,2026-08
enroll-0x80180018,concept,intune,,0x80180018: enrollment blocked (license or scope),Error codes,,,Windows MDM enrollment failed because the user has no valid Intune license or falls outside the MDM user scope. Assign the license or fix the automatic-enrollment scope and retry; the error is user-side and not a device defect.,enrollment error|mdm scope|intune license,,intune-p1,https://learn.microsoft.com/troubleshoot/mem/intune/device-enrollment/troubleshoot-windows-enrollment-errors,,inenroll|enlicense,2026-08
ndr-571,concept,m365,5.7.1,NDR 5.7.1: delivery not authorized,Error codes,,,The receiving side refused the message: a restricted recipient or distribution list; an unauthenticated relay attempt; or the sender failing the destination domain's authentication policy. The exact reason is in the full NDR text underneath the code.,bounce|ndr|relay denied|550,,free,https://learn.microsoft.com/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/fix-error-code-550-5-7-1-in-exchange-online,,exmt|ex,2026-08
aadsts50011,concept,entra,,AADSTS50011: redirect URI mismatch,Error codes,,,The reply URL in the sign-in request does not match any redirect URI registered on the app. An app configuration error and never a user problem: register the exact URI including scheme and trailing slash on the app registration.,redirect uri|reply url|sso broken,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enappreg|enapps,2026-08
aadsts50020,concept,entra,,AADSTS50020: account exists in a different tenant,Error codes,,,A user from another identity provider or tenant tried to sign in to this tenant's endpoint: typically a personal Microsoft account against a work sign-in or a guest using the wrong link. Send the correct tenant-specific link or invite the account as a guest.,wrong tenant|personal account|guest sign-in,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enguests|eninvite,2026-08
aadsts50034,concept,entra,,AADSTS50034: user account not found,Error codes,,,The UPN does not exist in the tenant being asked: a typo; the user signing in with the wrong address; or sync not having created the account yet. Confirm the exact UPN and which tenant should authenticate it.,user not found|upn typo|does not exist,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enusers|ensynclog,2026-08
aadsts50053,concept,entra,,AADSTS50053: account locked (smart lockout),Error codes,,,Smart lockout engaged after repeated wrong passwords or sign-ins from a flagged address. The lock releases on its own after the lockout window; investigate the source of the bad attempts before simply unlocking hybrid accounts on-premises.,smart lockout|account locked|too many attempts,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,ensign|ensecurity,2026-08
aadsts50055,concept,entra,,AADSTS50055: password expired,Error codes,,,The password has passed its expiry and must be changed. Cloud users change it at sign-in or via SSPR; hybrid users may need the on-premises change to sync before cloud sign-in recovers.,password expired|must change password,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,ensspr|mypw,2026-08
aadsts50057,concept,entra,,AADSTS50057: user account disabled,Error codes,,,The account is disabled: offboarded; blocked during an incident; or disabled on-premises with the state synced up. Confirm with HR or security before re-enabling anything.,account disabled|sign-in blocked,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enusers|usermgmt,2026-08
