# settings encyclopedia: windows cloud endpoints (W365 + AVD + Universal Print + servicing).
# Breadcrumb paths pending tenant walk (docs/17 B7).
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified,blastRadius,standards
set-w365-provpolicy,setting,,Provisioning policies,Windows 365,,Intune > Devices > Windows 365 > Provisioning policies,Defines what a new Cloud PC becomes: join type (Entra vs hybrid) with image and network (Microsoft-hosted vs your ANC) and geography. A wrong policy provisions wrong for every assigned user until fixed.,provisioning policy|cloud pc image,w365admin,w365,https://learn.microsoft.com/windows-365/enterprise/create-provisioning-policy,,win365,2026-08,high,
set-w365-anc,setting,,Azure network connection health,Windows 365,,Intune > Devices > Windows 365 > Azure network connections,Periodic health checks against your vNet (DNS and AD and endpoint reachability). A failed ANC silently blocks new provisioning while existing Cloud PCs keep running: check here first when provisioning hangs.,anc|network connection checks,w365admin,w365,https://learn.microsoft.com/windows-365/enterprise/azure-network-connections,,set-w365-provpolicy,2026-08,med,
set-w365-usersettings,setting,,User settings policies,Windows 365,,Intune > Devices > Windows 365 > User settings,Per-group toggles: local admin on the Cloud PC and self-service restore with restore-point frequency. Local admin here is the honest answer to most Cloud PC elevation tickets.,local admin cloud pc|restore points,w365admin,w365,https://learn.microsoft.com/windows-365/enterprise/overview,,win365,2026-08,med,
set-w365-actions,setting,,Cloud PC remote actions,Windows 365,,Intune > device > Cloud PC actions,Restart and restore (point-in-time) and resize (changes the SKU and needs a matching license) and reprovision (rebuilds from the image: user data on the Cloud PC is gone). Know which is destructive before clicking.,resize|reprovision|restore cloud pc,in-helpdesk,w365,https://learn.microsoft.com/windows-365/enterprise/overview,,win365,2026-08,high,
set-w365-bootswitch,concept,,Windows 365 Boot and Switch and Frontline,Windows 365,,,Boot signs a physical device straight into the Cloud PC (shared-device friendly); Switch task-switches between local and cloud desktops; Frontline shares one license across shift workers with non-dedicated Cloud PCs.,boot|switch|frontline,,w365,https://learn.microsoft.com/windows-365/enterprise/windows-365-boot-overview,,win365,2026-08,low,
set-avd-hostpool,setting,,Host pools: pooled vs personal,Azure Virtual Desktop,,Azure portal > AVD > Host pools,Pooled shares session hosts across users; personal pins one user per host. The validation-environment flag marks the pool that receives service changes first; drain mode stops new sessions on a host for maintenance.,host pool|drain mode|validation,az-contrib,avd-ext,https://learn.microsoft.com/azure/virtual-desktop/environment-setup,,azavd,2026-08,med,
set-avd-appgroups,setting,,App groups and workspaces,Azure Virtual Desktop,,Azure portal > AVD > Application groups,Users get access via app group (Desktop or RemoteApp) which publishes into a workspace the clients subscribe to. Access tickets trace that chain: user to app group to workspace.,app group|remoteapp|workspace,az-contrib,avd-ext,https://learn.microsoft.com/azure/virtual-desktop/environment-setup,,set-avd-hostpool,2026-08,low,
set-avd-scaling,setting,,Scaling plans (autoscale),Azure Virtual Desktop,,Azure portal > AVD > Scaling plans,Schedule-driven ramp-up and ramp-down of pooled hosts; the AVD service principal needs the power-management role assignment on the subscription or the plan silently does nothing.,autoscale|scaling plan,az-contrib,avd-ext,https://learn.microsoft.com/azure/virtual-desktop/autoscale-scaling-plan,,set-avd-hostpool,2026-08,med,
set-avd-rdpprops,setting,,Custom RDP properties,Azure Virtual Desktop,,Azure portal > AVD > Host pool > RDP Properties,Semicolon-separated string on the host pool controlling redirection (drives and clipboard and cameras) and display behavior (multimon). The string builder answers most "can we block copy-paste" tickets.,rdp properties|redirection|clipboard,az-contrib,avd-ext,https://learn.microsoft.com/azure/virtual-desktop/customize-rdp-properties,,set-avd-hostpool,2026-08,med,
set-avd-startvm,setting,,Start VM on Connect,Azure Virtual Desktop,,Azure portal > AVD > Host pool > Properties,Deallocated session hosts start when a user connects: big cost saver for personal pools; needs the AVD service principal granted VM power rights. Expect a slow first connect while the VM boots.,start vm on connect,az-contrib,avd-ext,https://learn.microsoft.com/azure/virtual-desktop/start-virtual-machine-connect,,set-avd-scaling,2026-08,low,
set-avd-shortpath,setting,,RDP Shortpath,Azure Virtual Desktop,,,UDP transport instead of the TCP reverse-connect: direct on managed networks and STUN/TURN over the public internet. Confirm it is actually in use from the client connection details before crediting it for anything.,shortpath|udp transport,az-contrib,avd-ext,https://learn.microsoft.com/azure/virtual-desktop/rdp-shortpath,,set-avd-urls,2026-08,low,
set-avd-teams,concept,,Teams on AVD: media optimization,Azure Virtual Desktop,,,Media optimization redirects audio and video to the local client (WebRTC redirector service plus the IsWVDEnvironment registry key on the host). Without it every call hairpins through the session host and quality collapses; component versions must be kept paired.,teams vdi|media optimization,,avd-ext,https://learn.microsoft.com/azure/virtual-desktop/teams-on-avd,,azavd,2026-08,med,
set-avd-fslogix,setting,,FSLogix profile containers,Azure Virtual Desktop,,,Profiles live in VHDX on a share (VHDLocations or Cloud Cache); antivirus needs the documented exclusions and the FSLogix Apps Operational event log on the session host is where every profile ticket starts.,fslogix|profile container,az-contrib,avd-ext,https://learn.microsoft.com/fslogix/overview-what-is-fslogix,,azavd,2026-08,med,
set-avd-agent,concept,,Session host servicing: agent and stack,Azure Virtual Desktop,,,The AVD agent auto-updates and the side-by-side stack versions with it; image updates ride the drain-and-replace cycle rather than in-place patching of session hosts. Broker connection issues often trace to a stuck agent update.,avd agent|sxs stack|image update,,avd-ext,https://learn.microsoft.com/azure/virtual-desktop/agent-overview,,set-avd-hostpool,2026-08,low,
set-avd-urls,setting,,Required endpoint list,Azure Virtual Desktop,,,Session hosts must reach the documented service FQDNs; the URL validation tool on a host checks them all. Proxy or firewall changes that trim this list produce "no available session host" style mysteries.,required urls|endpoint check,az-contrib,avd-ext,https://learn.microsoft.com/azure/virtual-desktop/required-fqdn-endpoint,,set-avd-shortpath,2026-08,med,
set-up-connector,setting,,Universal Print connectors and shares,Universal Print,,Universal Print portal > Connectors,Non-native printers reach the service through a connector host; printers then get registered and shared and deployed to devices via Intune policy. Job volume is pooled across the tenant's licenses.,print connector|printer share,printadmin,bus-prem,https://learn.microsoft.com/universal-print/fundamentals/universal-print-whatis,,print,2026-08,low,
set-win-safeguard,concept,,Safeguard holds on feature updates,Servicing,,,Microsoft blocks feature updates on devices with known compatibility issues; the hold lifts when the issue is fixed. Overriding the hold via policy is possible and usually regretted: check release health for the hold reason instead.,safeguard hold|update blocked,,free,https://learn.microsoft.com/windows/deployment/update/safeguard-holds,,winrelhealth|inwfu,2026-08,med,
