# enrichment: licensing (subject). Buying channels + lifecycle + assignment mechanics.
id,kind,category,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
adlicense,,licensing,,,Admin center,,M365 admin center > Billing > Licenses,Per-product seat counts: purchased vs assigned; the reconciliation starting point.,seats|licenses overview,licadmin,free,https://learn.microsoft.com/microsoft-365/commerce/licenses/subscriptions-and-licenses,ps-list-sku,enlicense|licassign,2026-08
enlicense,,licensing,,,Assignment,,Entra admin center > Billing > Licenses,Group-based licensing home: assignments and the per-user error states plus the reprocess action.,group licensing|reprocess,licadmin,free,https://learn.microsoft.com/entra/identity/users/licensing-groups-assign,ps-license-errors,adlicense|licassign,2026-08
vlsc,,licensing,,,Buying,,,Legacy volume licensing downloads and keys; being folded into the M365 admin center billing surfaces.,volume licensing,billingadmin,free,https://learn.microsoft.com/microsoft-365/commerce/licenses/subscriptions-and-licenses,,adlicense,2026-08
macvlsc,,licensing,,,Buying,,,Volume licensing for the Mac-specific installers and keys.,mac volume licensing,billingadmin,free,,,vlsc,2026-08
training,,licensing,,,Learning,,,Microsoft training and certification surface; where the desk points people asking how to learn this stack.,training|certification,,free,,,,2026-08
licassign,concept,licensing,,Group vs direct assignment mechanics,Assignment,,,Direct and group assignments coexist; removing the group does not remove a duplicate direct grant. Per-user error states (no free seats and conflicting plans and missing usage location) surface on the user and clear via the reprocess action.,assignment errors|usage location|reprocess,licadmin,free,https://learn.microsoft.com/entra/identity/users/licensing-groups-assign,ps-license-errors,enlicense|engroups,2026-08
liclifecycle,concept,licensing,,Subscription lifecycle stages,Lifecycle,,,Active then expired (grace: everything works) then disabled (admins in but users blocked and data intact) then deprovisioned (data removal). Exact windows differ by purchase channel: check the subscription detail rather than folklore.,subscription expired|grace period,billingadmin,free,https://learn.microsoft.com/microsoft-365/commerce/subscriptions/what-if-my-subscription-expires,,adlicense|licremoval,2026-08
licremoval,concept,licensing,,What actually breaks when a license is pulled,Lifecycle,,,The flagship answer card: an unlicensed mailbox enters a 30-day grace then deletion path (convert to shared first); OneDrive survives while the account exists and follows deleted-user retention after deletion; enrolled devices stay enrolled while license-gated features stop; premium flows and Power BI content suspend. Pair with the offboarding runbook.,license removed|what breaks,licadmin,free,https://learn.microsoft.com/microsoft-365/commerce/subscriptions/what-if-my-subscription-expires,,adlicense|usermgmt,2026-08
set-lic-selfservice,setting,licensing,,Self-service purchase toggles,Controls,,MSCommerce PowerShell (per product),Users can buy certain products themselves unless disabled per product via the MSCommerce module; trial sprawl and shadow billing start here. Decide the policy once and script it for every new product Microsoft adds.,self-service purchase|trial sprawl,billingadmin,free,https://learn.microsoft.com/microsoft-365/commerce/subscriptions/allowselfservicepurchase-powershell,Get-MSCommerceProductPolicies,adlicense,2026-08
licchannels,concept,licensing,,Purchase channels and NCE terms,Buying,,,Direct and CSP and EA and MCA buy the same SKUs with different terms. New Commerce annual/triennial terms lock seat counts downward mid-term and cancellation is only pro-rated within the first days: seat hygiene beats term regret.,csp vs ea|nce terms,billingadmin,free,,,gdap|partner,2026-08
