# enrichment: defender. Settings > Endpoints pages get full path/role/license treatment.
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
defender,,,,Portal,,Defender portal (root),Unified SOC portal: incidents; hunting; email security; Sentinel; settings.,xdr,secreader,free,https://learn.microsoft.com/defender-xdr/,,deincidents|dehunting|desettings,2026-08
deincidents,,,,Investigate & respond,,Defender portal > Incidents & alerts,Correlated incident queue across MDE/MDO/MDI/MDCA/Sentinel.,queue,xdr-response,free,https://learn.microsoft.com/defender-xdr/incidents-overview,Get-MgSecurityIncident,deactions|dehunting|scenario-incident,2026-08
dehunting,,,,Investigate & respond,,Defender portal > Hunting > Advanced hunting,KQL over XDR tables; custom detections; 30d default retention.,kql|ah,secop,,https://learn.microsoft.com/defender-xdr/advanced-hunting-overview,Start-MgSecurityHuntingQuery,deincidents|derepquery,2026-08
deactions,,,,Investigate & respond,,Defender portal > Action center,Pending approvals and history for automated (AIR) and manual response actions.,air|approvals,xdr-response,free,https://learn.microsoft.com/defender-xdr/m365d-action-center,,deinvestigations|air,2026-08
deinvestigations,,,,Investigate & respond,,Defender portal > Investigations,Automated investigation (AIR) list and evidence verdicts.,air|automated investigation|self-healing,secop,mdo-p2,https://learn.microsoft.com/defender-xdr/m365d-autoir,,air|deactions,2026-08
deexplorer,,,,Email & collab,,Defender portal > Email & collaboration > Explorer,Hunt mail campaigns and delivery actions; purging additionally needs the Search and Purge role.,threat explorer|purge,secreader,mdo-p2,https://learn.microsoft.com/defender-office-365/threat-explorer-real-time-detections-about,,deqre|scenario-phishing,2026-08
dere,,,,Email & collab,,Email & collaboration > Restricted entities,Unblock users restricted from sending after compromise cleanup.,blocked sender,secadmin,free,https://learn.microsoft.com/defender-office-365/outbound-spam-restore-restricted-users,,scenario-compromise,2026-08
deqre,,,,Email & collab,,Email & collaboration > Review > Quarantine,Release or delete quarantined mail; Quarantine Administrator is the least-priv role for release.,release|spam,secadmin,free,https://learn.microsoft.com/defender-office-365/quarantine-admin-manage-messages-files,Get-QuarantineMessage,deqp|detallow,2026-08
deqp,,,,Email & collab,,Email & collaboration > Policies > Quarantine policies,Who may release what; end-user quarantine notifications.,notifications,secadmin,free,,,deqre,2026-08
detallow,,,,Email & collab,,Policies > Rules > Tenant Allow/Block Lists,"Block or allow senders, URLs, files, spoof pairs; allows expire by design.",tabl|block sender,secadmin,free,https://learn.microsoft.com/defender-office-365/tenant-allow-block-list-about,,deqre|desubmissions,2026-08
detp,,,,Email & collab,,Email & collaboration > Policies & rules > Threat policies,Hub for preset policies and all MDO/EOP policy types.,policies hub,secadmin,free,,,deap|deasp|deamp|desap|deslp,2026-08
