# enrichment: intune. Endpoint security + compliance chain priority.
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
in,,,,Portal,,Intune admin center (root),Intune admin center root.,mem|endpoint manager,intuneadmin,intune-p1,https://learn.microsoft.com/mem/intune/,,indevices|insecurity|intenant,2026-08
insecurity,,,,Endpoint security,,Intune > Endpoint security,Security policy hub: baselines; AV; disk encryption; firewall; EDR; ASR.,,in-policyprofile,intune-p1,https://learn.microsoft.com/mem/intune/protect/endpoint-security,,inantivirus|inedr|inasr,2026-08
inantivirus,,,,Endpoint security,,Endpoint security > Antivirus,Defender AV policies: cloud protection; exclusions; tamper protection.,av|exclusions|tamper,in-policyprofile,intune-p1,https://learn.microsoft.com/mem/intune/protect/endpoint-security-antivirus-policy,,demdeadvfeats,2026-08
infirewall,,,,Endpoint security,,Endpoint security > Firewall,Windows Firewall profiles and rules at scale.,firewall rules,in-policyprofile,intune-p1,,,insecurity,2026-08
inedr,,,,Endpoint security,,Endpoint security > Endpoint detection and response,MDE onboarding-blob policy; pairs with the Defender connector.,onboarding|edr,in-policyprofile,intune-p1,https://learn.microsoft.com/mem/intune/protect/endpoint-security-edr-policy,,demdeonboard|demdeinperms,2026-08
inasr,,,,Endpoint security,,Endpoint security > Attack surface reduction,ASR rules audit/block; device control; exploit protection.,asr rules,in-policyprofile,intune-p1,https://learn.microsoft.com/defender-endpoint/attack-surface-reduction,,deasrreport,2026-08
incompliance,,,,Compliance,,Intune > Devices > Compliance,"Per-platform compliance checks: encryption, min OS, AV, MDE risk score.",compliant device,in-policyprofile,intune-p1,https://learn.microsoft.com/mem/intune/protect/device-compliance-get-started,Get-MgDeviceManagementDeviceCompliancePolicy,incompsettings|enca|demdeinperms,2026-08
inconfig,,,,Configuration,,Devices > Configuration,Settings Catalog is the default authoring surface; templates for the rest.,settings catalog,in-policyprofile,intune-p1,https://learn.microsoft.com/mem/intune/configuration/settings-catalog,,ingpo,2026-08
indevices,,,,Devices,,Intune > Devices,"Device inventory and remote actions: sync, restart, wipe vs retire, collect diagnostics.",wipe|retire|sync,in-helpdesk,intune-p1,https://learn.microsoft.com/mem/intune/remote-actions/,,introubleshoot,2026-08
inapps,,,,Apps,,Intune > Apps,"Win32/LOB/store apps, VPP and Managed Google Play; assignment and supersedence.",win32|deployment,in-policyprofile,intune-p1,https://learn.microsoft.com/mem/intune/apps/,,imelogs,2026-08
inappconfig,,,,Apps,,Apps > App configuration policies,Push settings into managed apps (MAM and MDM channels).,mam|managed apps,in-policyprofile,intune-p1,,,inapps,2026-08
inenroll,,,,Enrollment,,Devices > Enrollment,"Per-platform enrollment: Autopilot, Apple ADE/ABM tokens, Android modes, restrictions.",abm|ade|enrollment,intuneadmin,intune-p1,https://learn.microsoft.com/mem/intune/enrollment/,,inap|inesp|inconnectors,2026-08
inap,,,,Enrollment,,Devices > Enrollment > Windows > Autopilot devices,Autopilot registrations: hardware hash; group tag; profile state.,hwid|autopilot,intuneadmin,intune-p1,https://learn.microsoft.com/autopilot/,Get-WindowsAutopilotInfo,inesp|mdmdiag,2026-08
inwur,,,,Updates,,Devices > Windows updates > Update rings,Deferral and deadline rings for quality/feature servicing.,wufb|rings,in-policyprofile,intune-p1,https://learn.microsoft.com/mem/intune/protect/windows-10-update-rings,,inwfu|inwdu,2026-08
inwfu,,,,Updates,,Devices > Windows updates > Feature updates,Pin or move devices to a target Windows release.,feature update,in-policyprofile,intune-p1,,,inwur,2026-08
