# phase 4: intune niche settings + compliance-chain records (doc 02 §2.5-2.6).
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified,blastRadius,standards
set-in-partnercompliance,setting,,Partner compliance management,Compliance,,Tenant administration > Partner compliance management,Third-party MDMs (Jamf) attest device compliance into Entra so CA can trust their devices.,jamf|third-party mdm,intuneadmin,intune-p1,https://learn.microsoft.com/mem/intune/protect/device-compliance-partners,,incompliance|incompsettings,2026-08,med,
in-comgmt,concept,,Co-management workload slider,Compliance,,ConfigMgr console > Co-management properties > Workloads,The slider decides whether SCCM or Intune computes compliance and other workloads; move Compliance to Intune before CA relies on it.,sccm|workloads|tenant attach,intuneadmin,intune-p1,https://learn.microsoft.com/mem/configmgr/comanage/workloads,,incompliance,2026-08,,
in-checkin,concept,,Check-in cadence and enforcement timing,Compliance,,What Sync triggers and when policy lands,"Steady state is roughly every 8 hours, tighter right after enrollment; compliance re-evaluates at check-in; CA enforces at token evaluation, so fixes are not instant either way.",sync interval|timing,in-helpdesk,intune-p1,https://learn.microsoft.com/mem/intune/configuration/device-profile-troubleshoot,,incompsettings|indevices,2026-08,,
in-lapspolicy,setting,,Windows LAPS policy,Endpoint security,,Endpoint security > Account protection > Local admin password solution,Rotation schedule and complexity for local admin passwords escrowed to Entra; read them at the device page or enlaps.,laps rotation,in-policyprofile,intune-p1,https://learn.microsoft.com/mem/intune/protect/windows-laps-policy,,enlaps,2026-08,med,
in-epm,setting,,Endpoint Privilege Management,Endpoint security,,Endpoint security > Endpoint Privilege Management,Elevation rules replace permanent local admin: automatic for known-good hashes; support-approved for the rest.,elevation|remove admin,in-policyprofile,intune-suite,https://learn.microsoft.com/mem/intune/protect/epm-overview,,in-lapspolicy,2026-08,med,
in-remotehelp,setting,,Remote Help,Tenant admin,,Tenant administration > Remote Help,RBAC-gated remote assistance with compliance warnings and full session audit.,remote assistance,in-helpdesk,intune-suite,https://learn.microsoft.com/mem/intune/fundamentals/remote-help,,introubleshoot,2026-08,low,
in-cloudpki,setting,,Cloud PKI,Tenant admin,,Tenant administration > Cloud PKI,Managed issuing CAs for SCEP without NDES servers; watch CA lifetime and renewal like any connector.,certificates|scep without ndes,intuneadmin,intune-suite,https://learn.microsoft.com/mem/intune/protect/microsoft-cloud-pki-overview,,inconnectors,2026-08,med,
in-ddm,concept,,Apple declarative device management,Enrollment,,DDM inside Apple enrollment profiles,Device applies declarations autonomously and reports state; faster and more reliable than polling MDM for supported payloads.,apple ddm,intuneadmin,intune-p1,https://learn.microsoft.com/mem/intune/enrollment/device-enrollment-program-enroll-ios,,inenroll,2026-08,,
in-devicequery,setting,,Device query (on-demand KQL),Devices,,Device page > Device query,Run KQL against a single live device (processes; registry; files) for triage without remoting in.,live kql|triage,in-helpdesk,intune-suite,https://learn.microsoft.com/mem/intune/fundamentals/intune-add-ons,,whichcmd|indevices,2026-08,low,
in-mdmwinsovergp,concept,,MDMWinsOverGP,Configuration,,Settings Catalog > Control policy conflict,When GPO and MDM set the same policy the CSP decides the winner; enable deliberately during GPO-to-Intune migration.,gpo conflict|migration,in-policyprofile,intune-p1,https://learn.microsoft.com/windows/client-management/mdm/policy-csp-controlpolicyconflict,,ingpo|inconfig,2026-08,,
in-scopetags,setting,,Scope tags (delegation),Tenant admin,,Tenant administration > Roles > Scope (Tags),Slice Intune visibility per team/customer: pair with role assignments; the MSP delegation backbone.,rbac|delegation,intuneadmin,intune-p1,https://learn.microsoft.com/mem/intune/fundamentals/scope-tags,,gdap|introubleshoot,2026-08,med,
